Data from FLMT021711__13__18-15-08-187.txt Node

Date: Tue Nov 05 18:15:08 CET 2024
User: Etudiants TP
Spectrometer: FLMT02171
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 5
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 15
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
194.658	-74.52
194.923	-71.78
195.188	-62.99
195.453	-61.18
195.717	-54.66
195.982	-52.18
196.247	-50.95
196.512	-54.57
196.777	-53.15
197.042	-50.66
197.307	-49.59
197.572	-46
197.837	-45.94
198.101	-42.79
198.366	-38.75
198.631	-36.06
198.896	-28.86
199.161	-20.28
199.425	-10.98
199.69	-1.25
199.955	-0.84
200.22	-4.42
200.484	-5.6
200.749	-6.8
201.014	-5.35
201.278	-5.59
201.543	-5
201.807	-5.34
202.072	-2.8
202.337	-3.29
202.601	-3.28
202.866	-5.75
203.13	-3.88
203.395	-7.32
203.659	-7.81
203.924	-9.8
204.189	-9.73
204.453	-8.71
204.717	-4.62
204.982	-3.47
205.246	-2.2
205.511	-0.7
205.775	-1.32
206.04	4.84
206.304	5.38
206.568	6.74
206.833	6.26
207.097	7.6
207.361	8.44
207.626	11.45
207.89	13.15
208.154	14.35
208.419	16.19
208.683	16.79
208.947	20.08
209.211	19.51
209.476	20.31
209.74	22.56
210.004	22.97
210.268	22.37
210.532	25.08
210.796	26.25
211.061	27.87
211.325	27.82
211.589	27.14
211.853	28.3
212.117	28.27
212.381	28.67
212.645	28.1
212.909	27.5
213.173	25.04
213.437	25.32
213.701	25.06
213.965	26.06
214.229	20.61
214.493	18.93
214.757	17.13
215.021	16.52
215.285	21.25
215.549	24.03
215.813	20.85
216.077	19.99
216.34	22.08
216.604	21.03
216.868	21.51
217.132	23
217.396	22.31
217.659	21.89
217.923	17.07
218.187	17.56
218.451	16.16
218.714	13.79
218.978	13.06
219.242	15.51
219.505	16.24
219.769	18.02
220.033	17.82
220.296	20.83
220.56	20.89
220.824	20.58
221.087	20.12
221.351	19.88
221.614	19.57
221.878	21.93
222.142	20.87
